,0
"AUT Crop and animal production, hunting and related service activities",1461.0
AUT Forestry and logging,82.7
AUT Fishing and aquaculture,0.1
AUT Mining and quarrying,808.3
"AUT Manufacture of food products, beverages and tobacco products",966.1
"AUT Manufacture of textiles, wearing apparel and leather products",50.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",271.7
AUT Manufacture of paper and paper products,1741.2
AUT Printing and reproduction of recorded media,12.1
AUT Manufacture of coke and refined petroleum products ,2713.5
AUT Manufacture of chemicals and chemical products ,2239.3
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,4.2
AUT Manufacture of rubber and plastic products,24.1
AUT Manufacture of other non-metallic mineral products,4907.0
AUT Manufacture of basic metals,12515.4
"AUT Manufacture of fabricated metal products, except machinery and equipment",130.1
"AUT Manufacture of computer, electronic and optical products",39.1
AUT Manufacture of electrical equipment,72.8
AUT Manufacture of machinery and equipment n.e.c.,153.2
"AUT Manufacture of motor vehicles, trailers and semi-trailers",32.6
AUT Manufacture of other transport equipment,5.7
AUT Manufacture of furniture; other manufacturing,38.4
AUT Repair and installation of machinery and equipment,24.5
"AUT Electricity, gas, steam and air conditioning supply",6581.6
"AUT Water collection, treatment and supply",103.1
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",115.8
AUT Construction,1730.1
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,75.2
"AUT Wholesale trade, except of motor vehicles and motorcycles",258.9
"AUT Retail trade, except of motor vehicles and motorcycles",216.9
AUT Land transport and transport via pipelines,1739.0
AUT Water transport,80.0
AUT Air transport,2677.7
AUT Warehousing and support activities for transportation,61.4
AUT Postal and courier activities,17.5
AUT Accommodation and food service activities,215.1
AUT Publishing activities,24.2
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",27.9
AUT Telecommunications,7.5
"AUT Computer programming, consultancy and related activities; information service activities",17.4
"AUT Financial service activities, except insurance and pension funding",23.1
"AUT Insurance, reinsurance and pension funding, except compulsory social security",10.9
AUT Activities auxiliary to financial services and insurance activities,16.9
AUT Real estate activities,1.9
AUT Legal and accounting activities; activities of head offices; management consultancy activities,40.1
AUT Architectural and engineering activities; technical testing and analysis,13.8
AUT Scientific research and development,4.3
AUT Advertising and market research,10.6
"AUT Other professional, scientific and technical activities; veterinary activities",22.0
AUT Administrative and support service activities,118.4
AUT Public administration and defence; compulsory social security,162.7
