Unnamed: 0,0
"AUT Crop and animal production, hunting and related service activities",1458.9
AUT Forestry and logging,85.3
AUT Fishing and aquaculture,0.1
AUT Mining and quarrying,870.8
"AUT Manufacture of food products, beverages and tobacco products",1049.7
"AUT Manufacture of textiles, wearing apparel and leather products",57.4
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",322.4
AUT Manufacture of paper and paper products,1956.2
AUT Printing and reproduction of recorded media,16.6
AUT Manufacture of coke and refined petroleum products ,2827.1
AUT Manufacture of chemicals and chemical products ,2158.0
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,4.8
AUT Manufacture of rubber and plastic products,32.8
AUT Manufacture of other non-metallic mineral products,4974.5
AUT Manufacture of basic metals,12707.7
"AUT Manufacture of fabricated metal products, except machinery and equipment",146.8
"AUT Manufacture of computer, electronic and optical products",50.4
AUT Manufacture of electrical equipment,74.9
AUT Manufacture of machinery and equipment n.e.c.,162.0
"AUT Manufacture of motor vehicles, trailers and semi-trailers",36.5
AUT Manufacture of other transport equipment,5.9
AUT Manufacture of furniture; other manufacturing,61.0
AUT Repair and installation of machinery and equipment,22.2
"AUT Electricity, gas, steam and air conditioning supply",8199.8
"AUT Water collection, treatment and supply",113.7
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",110.8
AUT Construction,2112.7
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,80.9
"AUT Wholesale trade, except of motor vehicles and motorcycles",297.4
"AUT Retail trade, except of motor vehicles and motorcycles",243.8
AUT Land transport and transport via pipelines,2063.4
AUT Water transport,86.3
AUT Air transport,2569.5
AUT Warehousing and support activities for transportation,72.0
AUT Postal and courier activities,19.6
AUT Accommodation and food service activities,216.6
AUT Publishing activities,25.3
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",30.1
AUT Telecommunications,8.6
"AUT Computer programming, consultancy and related activities; information service activities",18.7
"AUT Financial service activities, except insurance and pension funding",24.6
"AUT Insurance, reinsurance and pension funding, except compulsory social security",11.3
AUT Activities auxiliary to financial services and insurance activities,19.3
AUT Real estate activities,2.0
AUT Legal and accounting activities; activities of head offices; management consultancy activities,43.5
AUT Architectural and engineering activities; technical testing and analysis,15.0
AUT Scientific research and development,4.7
AUT Advertising and market research,11.4
"AUT Other professional, scientific and technical activities; veterinary activities",25.6
AUT Administrative and support service activities,136.1
AUT Public administration and defence; compulsory social security,171.5
AUT Education,440.8
AUT Human health and social work activities,163.2
AUT Other service activities,293.8
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
